,full_name,team_name,season
624,Marc Keller,West Ham,1999
625,Marc Keller,France,1999
626,Les Sealey,West Ham,1999
627,Les Sealey,England,1999
628,Manny Omoyinmi,West Ham,1999
629,Manny Omoyinmi,Nigeria,1999
630,Terrell Forbes,West Ham,1999
631,Terrell Forbes,England,1999
632,Chris Coyne,West Ham,1999
633,Chris Coyne,Australia,1999
634,Stevland Angus,West Ham,1999
635,Stevland Angus,England,1999
636,Stephen Purches,West Ham,1999
637,Stephen Purches,England,1999
638,Samassi Abou,West Ham,1999
639,Samassi Abou,France,1999
640,Espen Baardsen,Tottenham,1999
641,Espen Baardsen,Norway,1999
642,Hans Segers,Tottenham,1999
643,Hans Segers,Netherlands,1999
644,Ian Walker,Tottenham,1999
645,Ian Walker,England,1999
646,Sol Campbell,Tottenham,1999
647,Sol Campbell,England,1999
648,Stephen Carr,Tottenham,1999
649,Stephen Carr,Ireland,1999
650,Justin Edinburgh,Tottenham,1999
651,Justin Edinburgh,England,1999
652,Chris Perry,Tottenham,1999
653,Chris Perry,England,1999
654,John Scales,Tottenham,1999
655,John Scales,England,1999
656,Mauricio Taricco,Tottenham,1999
657,Mauricio Taricco,Argentina,1999
658,Ramon Vega,Tottenham,1999
659,Ramon Vega,Switzerland,1999
660,Luke Young,Tottenham,1999
661,Luke Young,England,1999
662,Darren Anderton,Tottenham,1999
663,Darren Anderton,England,1999
664,Stephen Clemence,Tottenham,1999
665,Stephen Clemence,England,1999
666,José Dominguez,Tottenham,1999
667,José Dominguez,Portugal,1999
668,Steffen Freund,Tottenham,1999
669,Steffen Freund,Germany,1999
670,David Ginola,Tottenham,1999
671,David Ginola,France,1999
672,Willem Korsten,Tottenham,1999
673,Willem Korsten,Netherlands,1999
674,Allan Nielsen,Tottenham,1999
675,Allan Nielsen,Denmark,1999
676,Tim Sherwood,Tottenham,1999
677,Tim Sherwood,England,1999
678,Chris Armstrong,Tottenham,1999
679,Chris Armstrong,England,1999
680,Matthew Etherington,Tottenham,1999
681,Matthew Etherington,England,1999
682,Les Ferdinand,Tottenham,1999
683,Les Ferdinand,England,1999
684,Steffen Iversen,Tottenham,1999
685,Steffen Iversen,Norway,1999
686,Öyvind Leonhardsen,Tottenham,1999
687,Öyvind Leonhardsen,Norway,1999
688,Ruel Fox,Tottenham,1999
689,Ruel Fox,Montserrat,1999
690,Moussa Saïb,Tottenham,1999
691,Moussa Saïb,Algeria,1999
692,Gary Doherty,Tottenham,1999
693,Gary Doherty,Ireland,1999
694,Dave McEwen,Tottenham,1999
695,Dave McEwen,England,1999
